gene,top_expr_partner,r,cohens_d,p,sig,likely_paralog,rank_all,pair_reported_before,report_evidence_level,reported_reference,dep_lowExpr,dep_highExpr,gene_root,partner_root
TRAPPC1,RIPK3,0.18,-0.414,1.4479438e-09,False,False,281,,,,-1.202,-1.092,TRAPPC,RIPK
HAUS3,DENND1C,0.18,-0.386,1.21364065e-08,False,False,156,,,,-1.228,-1.128,HAUS,DENND
VHL,RPUSD4,0.18,-0.411,3.090937e-09,False,False,56,,,,-0.815,-0.661,VHL,RPUSD
ORC4,TTC39A,0.18,-0.416,2.5705225e-08,False,False,148,,,,-0.57,-0.483,ORC,TTC
TAF1C,MAPK4,0.179,-0.225,0.00077594555,False,False,209,,,,-1.09,-1.019,TAF,MAPK
BCCIP,RHOF,0.178,-0.424,8.342795e-09,False,False,137,,,,-0.618,-0.543,BCCIP,RHOF
SNAPC5,PTPRH,0.177,-0.392,1.7972171e-07,False,False,252,,,,-1.287,-1.158,SNAPC,PTPRH
SEC62,NUP62CL,0.177,-0.423,2.8229877e-08,False,False,247,,,,-0.418,-0.33,SEC,NUP62CL
ELAC2,CASP10,0.175,-0.378,1.7820165e-08,False,False,110,,,,-0.952,-0.853,ELAC,CASP
NUP54,TRAP1,0.173,-0.461,4.377561e-09,False,False,140,,,,-0.81,-0.675,NUP,TRAP
PSMG4,EPHA10,0.173,-0.348,1.1413366e-06,False,False,145,,,,-1.364,-1.206,PSMG,EPHA
PELP1,ADCY2,0.173,-0.175,0.0018051702,False,False,253,,,,-1.038,-0.986,PELP,ADCY
PPP1CB,PLEKHH1,0.173,-0.366,1.1466017e-06,False,False,116,,,,-1.268,-1.158,PPP1CB,PLEKHH
TOP1,TM7SF2,0.172,-0.422,1.0636294e-08,False,False,47,,,,-1.051,-0.957,TOP,TM7SF
LONP1,GPR35,0.172,-0.316,8.497845e-06,False,False,153,,,,-1.429,-1.269,LONP,GPR
NUP155,MYO1G,0.172,-0.129,0.03503786,False,False,176,,,,-1.168,-1.14,NUP,MYO
PFDN4,FHIT,0.172,-0.366,1.185962e-05,False,False,119,,,,-0.336,-0.261,PFDN,FHIT
RPS17,PPM1J,0.172,-0.472,2.8658903e-10,False,False,227,,,,-1.608,-1.477,RPS,PPM
POLE2,CKMT1B,0.171,-0.399,4.480735e-09,False,False,112,,,,-1.684,-1.53,POLE,CKMT
TRAPPC4,OXA1L,0.171,-0.39,4.0322956e-07,False,False,207,,,,-0.931,-0.838,TRAPPC,OXA
TRAPPC11,TMPRSS2,0.171,-0.22,0.0006901822,False,False,256,,,,-1.048,-0.998,TRAPPC,TMPRSS
NHP2,SMIM1,0.169,-0.412,4.3456055e-08,False,False,266,,,,-0.764,-0.684,NHP,SMIM
DNAJA3,LTBR,0.167,-0.369,5.0140176e-07,False,False,222,,,,-0.963,-0.881,DNAJA,LTBR
NOPCHAP1,ZFP62,0.167,-0.321,3.4486507e-06,False,False,228,,,,-0.776,-0.716,NOPCHAP,ZFP
FOXO3,POTEB2,0.165,-0.006,0.5,False,False,164,,,,-0.355,-0.354,FOXO,POTEB
RNF4,BTG2,0.165,-0.395,7.78171e-09,False,False,195,,,,-0.604,-0.478,RNF,BTG
RRP12,DUSP23,0.164,-0.411,7.241215e-09,False,False,258,,,,-1.363,-1.249,RRP,DUSP
CLNS1A,QPCTL,0.164,-0.377,2.0915857e-07,False,False,230,,,,-1.464,-1.333,CLNS,QPCTL
RRP1,ATP13A4,0.163,-0.148,0.036586076,False,False,160,,,,-0.834,-0.799,RRP,ATP13A
NOM1,TMEM210,0.162,-0.05,0.14065138,False,False,204,,,,-0.742,-0.731,NOM,TMEM
NOB1,C15orf48,0.162,-0.374,9.42814e-07,False,False,150,,,,-1.086,-0.996,NOB,C15orf
RRP15,TLR9,0.161,-0.179,0.002220463,False,False,144,,,,-0.888,-0.851,RRP,TLR
H3C8,FGFR4,0.161,-0.318,6.1985347e-06,False,False,71,,,,-0.529,-0.472,H3C,FGFR
EIF3E,KIAA1671,0.16,-0.332,2.3311506e-05,False,False,274,,,,-1.412,-1.312,EIF,KIAA
RPS25,ENDOU,0.16,-0.228,0.0032339722,False,False,263,,,,-1.344,-1.278,RPS,ENDOU
PES1,DENND2D,0.16,-0.408,2.421517e-07,False,False,77,,,,-1.126,-1.033,PES,DENND
CCDC59,PTPN6,0.16,-0.328,7.699534e-06,False,False,177,,,,-0.647,-0.592,CCDC,PTPN
MED11,RPL19,0.159,-0.36,1.587507e-06,False,False,103,,,,-1.891,-1.753,MED,RPL
MED28,PABPC1,0.158,-0.348,2.4429007e-06,False,False,198,,,,-1.289,-1.207,MED,PABPC
RSL1D1,PSENEN,0.158,-0.321,9.260431e-06,False,False,190,,,,-1.43,-1.341,RSL1D,PSENEN
PSMA2,POLR1D,0.157,-0.323,0.00013419628,False,False,280,,,,-2.483,-2.378,PSMA,POLR
RAE1,P4HTM,0.155,-0.389,1.0458328e-05,False,False,200,,,,-1.547,-1.44,RAE,P4HTM
HAUS4,TEC,0.155,-0.355,1.8078665e-06,False,False,142,,,,-1.302,-1.199,HAUS,TEC
PSMA1,HES2,0.155,-0.333,1.2075138e-05,False,False,268,,,,-2.293,-2.175,PSMA,HES
CIR1,EIF4EBP3,0.155,-0.356,5.6618336e-07,False,False,187,,,,-0.415,-0.352,CIR,EIF4EBP
USP36,TMC8,0.154,-0.318,7.167977e-06,False,False,188,,,,-0.931,-0.865,USP,TMC
TARS1,TRIM72,0.154,-0.062,0.20378782,False,False,63,,,,-1.912,-1.891,TARS,TRIM
FARSA,ALOX15B,0.153,-0.089,0.102590226,False,False,124,,,,-0.89,-0.87,FARSA,ALOX
EPRS1,STAT6,0.152,-0.224,0.0017106421,False,False,114,,,,-1.697,-1.643,EPRS,STAT
RPS21,TNNI3,0.152,-0.355,4.761477e-06,False,False,250,,,,-1.674,-1.587,RPS,TNNI
PREB,EMB,0.151,-0.403,2.4921249e-08,False,False,174,,,,-1.25,-1.161,PREB,EMB
CSE1L,RBM47,0.15,-0.346,8.931828e-08,False,False,262,,,,-2.172,-2.079,CSE,RBM
MED31,TAT,0.149,-0.091,0.17147888,False,False,181,,,,-1.469,-1.45,MED,TAT
XAB2,HSPBAP1,0.149,-0.309,5.650405e-05,False,False,225,,,,-2.175,-2.059,XAB,HSPBAP
HAUS5,STAT6,0.147,-0.398,9.729342e-08,False,False,179,,,,-1.351,-1.199,HAUS,STAT
WDHD1,ACSL5,0.147,-0.273,0.00036156317,False,False,117,,,,-1.352,-1.275,WDHD,ACSL
NOL12,SPINT2,0.146,-0.33,1.0006606e-05,False,False,212,,,,-0.736,-0.682,NOL,SPINT
MED17,SLC16A5,0.146,-0.395,1.5607056e-07,False,False,167,,,,-1.135,-1.046,MED,SLC16A
NVL,PROB1,0.145,-0.271,0.00048468204,False,False,208,,,,-1.329,-1.248,NVL,PROB
RINT1,ANGEL1,0.143,-0.331,5.502526e-07,False,False,154,,,,-1.099,-1.023,RINT,ANGEL
AMY2A,RHOH,0.142,-0.004,0.5278465,False,False,15,,,,-0.346,-0.346,AMY,RHOH
INTS8,NOB1,0.142,-0.325,1.880926e-05,False,False,240,,,,-1.201,-1.133,INTS,NOB
SAP18,C12orf45,0.141,-0.315,4.8024573e-05,False,False,283,,,,-1.108,-1.037,SAP,C12orf
HSPA9,IL1B,0.14,-0.298,0.00014238419,False,False,169,,,,-2.35,-2.256,HSPA,IL
RPL26L1,NPL,0.138,-0.325,5.9395616e-06,False,False,96,,,,-0.451,-0.386,RPL26L,NPL
COPA,POLR1D,0.137,-0.38,4.2963637e-07,False,False,236,,,,-2.108,-1.976,COPA,POLR
IMP3,VN1R1,0.137,-0.149,0.022854265,False,False,193,,,,-1.298,-1.251,IMP,VN1R
UBL5,POLR3G,0.135,-0.31,1.4908281e-05,False,False,271,,,,-2.699,-2.588,UBL,POLR
USP10,EEF1B2,0.134,-0.333,9.1582715e-06,False,False,210,,,,-0.688,-0.616,USP,EEF1B
NARS1,PTP4A3,0.129,-0.291,0.00010687024,False,False,201,,,,-1.909,-1.828,NARS,PTP4A
HINFP,FAM162B,0.126,-0.009,0.35133463,False,False,246,,,,-1.607,-1.605,HINFP,FAM
MT1E,LCP1,0.125,-0.254,0.0005339126,False,False,224,,,,-0.476,-0.402,MT,LCP
TUBGCP6,STAT6,0.123,-0.271,0.000100379955,False,False,273,,,,-1.0,-0.936,TUBGCP,STAT
MIS18BP1,CCL28,0.122,-0.31,9.854071e-05,False,False,254,,,,-0.925,-0.843,MIS18BP,CCL
VCP,MARK1,0.118,-0.23,0.0006439258,False,False,118,,,,-2.564,-2.475,VCP,MARK
UBC,PHB2,0.075,-0.726,3.0028052e-06,False,False,26,,,,-0.526,-0.27,UBC,PHB
KRTAP21-1,USP17L19,0.066,-0.008,0.47224984,False,False,123,,,,-0.333,-0.331,KRTAP21-,USP17L
